ret(t-2),ret(t-1),ret(t),norm,kk
0.80781,0.916036,-2.5547,0.24688,
0.916036,-2.5547,-1.91016,0.226889,
-2.5547,-1.91016,-2.95041,0.226889,
-1.91016,-2.95041,0.000321,0.227073,
-2.95041,0.000321,0.97225,0.275046,
0.000321,0.97225,6.49233,0.351299,
0.97225,6.49233,-1.24682,0.331208,
6.49233,-1.24682,0.102362,0.331208,
-1.24682,0.102362,0.238121,0.331208,
0.102362,0.238121,0.262056,0.347821,
0.238121,0.262056,0.152457,0.347821,
0.262056,0.152457,-0.054084,0.347821,
0.152457,-0.054084,1.36137,0.286835,
-0.054084,1.36137,2.63495,0.227132,
1.36137,2.63495,1.76033,0.296959,
2.63495,1.76033,-1.65419,0.296959,
1.76033,-1.65419,-1.21412,0.239914,
-1.65419,-1.21412,-1.84211,0.24069,
-1.21412,-1.84211,1.25637,0.245279,
-1.84211,1.25637,0.495968,0.241884,
1.25637,0.495968,-0.247973,0.217769,
0.495968,-0.247973,-1.67377,0.09798,
-0.247973,-1.67377,0.220522,0.0982284,
-1.67377,0.220522,1.58765,0.0992371,
0.220522,1.58765,0.762,0.0887732,
1.58765,0.762,-0.061505,0.0891202,
0.762,-0.061505,-0.546368,0.134491,
-0.061505,-0.546368,-0.054786,0.133814,
-0.546368,-0.054786,-1.52447,0.151253,
-0.054786,-1.52447,-0.959213,0.199002,
-1.52447,-0.959213,1.28774,0.24106,
-0.959213,1.28774,0.341259,0.252424,
1.28774,0.341259,-0.235702,0.246834,
0.341259,-0.235702,-2.01509,0.246834,
-0.235702,-2.01509,1.5418,0.240471,
-2.01509,1.5418,0.442903,0.240437,
1.5418,0.442903,-1.52194,0.234268,
0.442903,-1.52194,0.455507,0.178766,
-1.52194,0.455507,-2.10752,0.178766,
0.455507,-2.10752,0.724466,0.233998,
-2.10752,0.724466,0.172442,0.255518,
0.724466,0.172442,0.866314,0.262853,
0.172442,0.866314,0.899352,0.24054,
0.866314,0.899352,0.414879,0.220155,
0.899352,0.414879,-0.896577,0.151754,
0.414879,-0.896577,0.264656,0.111456,
-0.896577,0.264656,0.685296,0.19781,
0.264656,0.685296,-1.22905,0.182546,
0.685296,-1.22905,0.586063,0.182478,
